Alcohol Percentage,Alcoholic__,All Ingredients,amount,Alcoholic,pure alcohol,Nonalcoholic,Number of Records,Ingredient Index,Ingredient Name,Sort of drink,Cocktail Name,Extra,Garnish,Glass,Index,Ingredient 1 #,Ingredient 2 #,Ingredient 3 #,Ingredient 4 #,Ingredient 5 #,Ingredient 6 #,Ingredient 7 #,Ingredient 8 #,Ingredient 9 #,Method
0,FALSE,Lemon twist (garnish),,,,,1,Ingredient 4,Lemon twist (garnish),Before Dinner Cocktail,Vesper,,Lemon twist,cocktail,73,6,1.5,0.75,,,,,,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Lime juice,1.5,,0,1.5,1,Ingredient 4,Lime juice,All Day Cocktail,Yellow Bird,,,cocktail,76,3,1.5,1.5,1.5,,,,,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,TRUE,Top with Prosecco,,,,,1,Ingredient 5,Top with prosecco,Sparkling Cocktail,Barracuda,,,cocktail,6,4.5,1.5,6,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Tabasco,,,,,1,Ingredient 5,Tabasco,Longdrink,Bloody Mary,,elery and lemon wedge,highball,10,4.5,9,1.5,2,,,,,,stir
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,TRUE,Gin,1.5,1.5,0.6,,1,Ingredient 5,Gin,Longdrink,Long Island Iced Tea,Serve with straw.,lemon spiral,highball,40,1.5,1.5,1.5,1.5,1.5,2.5,3,1,,stir
0,FALSE,Fresh lime juice,1,,0,1,1,Ingredient 5,Fresh lime juice,Longdrink,Mai-Tai,Serve with straw.,"pineapple spear, mint leaves and lime peel",highball,41,4,2,1.5,1.5,1,,,,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Soda water,,,,,1,Ingredient 5,Soda water,Longdrink,Mojito,Serve with straw.,spring of mint leaves and lemon slice.,highball,47,4,3,6,2,,,,,,"muddle lime, sugar and mint"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Grenadine,1,,0,1,1,Ingredient 5,Grenadine,Longdrink,Planter's Punch,,cocktail cherry and pineapple,large glass,55,4.5,3.5,3.5,2,1,1,3.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Cream,6,,0,6,1,Ingredient 5,Cream,Longdrink,Ramos Fizz,,,highball,57,4.5,1.5,1.5,3,6,1,3,,,"dry shake, hard shake & strain"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Pineapple juice,12,,0,12,1,Ingredient 5,Pineapple juice,Longdrink,Singapore Sling,,cocktail cherry and pineapple,highball,66,3,1.5,0.75,0.75,12,1.5,1,1,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,dashes Orange Bitters,3,,0,3,1,Ingredient 5,Dashes orange bitters,All Day Cocktail,Tuxedo,,cocktail cherry and a lemon zest twist,cocktail,71,3,3,0.5,0.25,3,,,,,stir & strain
0,FALSE,teaspoon clear honey,1,,0,1,1,Ingredient 5,Teaspoon clear honey,All Day Cocktail,Vampiro,,wedge of lime and a chili,highball,72,5,7,3,1,1,0.5,,,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Celery salt,,,,,1,Ingredient 6,Celery salt,Longdrink,Bloody Mary,,elery and lemon wedge,highball,10,4.5,9,1.5,2,,,,,,stir
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Fresh lemon juice,2.5,,0,2.5,1,Ingredient 6,Fresh lemon juice,Longdrink,Long Island Iced Tea,Serve with straw.,lemon spiral,highball,40,1.5,1.5,1.5,1.5,1.5,2.5,3,1,,stir
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Sugar syrup,1,,0,1,1,Ingredient 6,Sugar syrup,Longdrink,Planter's Punch,,cocktail cherry and pineapple,large glass,55,4.5,3.5,3.5,2,1,1,3.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Egg white,1,,0,1,1,Ingredient 6,Egg white,Longdrink,Ramos Fizz,,,highball,57,4.5,1.5,1.5,3,6,1,3,,,"dry shake, hard shake & strain"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Lime juice,1.5,,0,1.5,1,Ingredient 6,Lime juice,Longdrink,Singapore Sling,,cocktail cherry and pineapple,highball,66,3,1.5,0.75,0.75,12,1.5,1,1,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,slice onion finely chopped,0.5,,0,0.5,1,Ingredient 6,Slice onion finely chopped,All Day Cocktail,Vampiro,,wedge of lime and a chili,highball,72,5,7,3,1,1,0.5,,,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Dash of Cola,1,,0,1,1,Ingredient 8,Dash of Cola,Longdrink,Long Island Iced Tea,Serve with straw.,lemon spiral,highball,40,1.5,1.5,1.5,1.5,1.5,2.5,3,1,,stir
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,drops Vanilla extract,,,,,1,Ingredient 8,Drops vanilla extract,Longdrink,Ramos Fizz,,,highball,57,4.5,1.5,1.5,3,6,1,3,,,"dry shake, hard shake & strain"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,dash Angostura Bitters,1,,0,1,1,Ingredient 8,Angostura Bitters,Longdrink,Singapore Sling,,cocktail cherry and pineapple,highball,66,3,1.5,0.75,0.75,12,1.5,1,1,,shake & strain
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,Few drops Worchestershire sauce,,,,,1,Ingredient 8,Few drops Worchestershire sauce,All Day Cocktail,Vampiro,,wedge of lime and a chili,highball,72,5,7,3,1,1,0.5,,,,shake & strain
